19demarzo/19demarzo_0000.wav|Durante nuestra conversacion adverti que la multitud aumentaba apretandose mas.|Durante nuestra conversacion adverti que la multitud aumentaba apretandose mas.|5.88
19demarzo/19demarzo_0012.wav|y mientras algunas mujeres proferian gritos lastimosos oi a muchos hombres discutiendo en voz baja planes de no se que inverosimil lucha.|y mientras algunas mujeres proferian gritos lastimosos oi a muchos hombres discutiendo en voz baja planes de no se que inverosimil lucha.|9.69
19demarzo/19demarzo_0013.wav|El primer movimiento hostil del pueblo reunido fue rodear a un oficial frances que a la sazon atraveso por la plaza de la Armeria.|El primer movimiento hostil del pueblo reunido fue rodear a un oficial frances que a la sazon atraveso por la plaza de la Armeria.|8.32
19demarzo/19demarzo_0014.wav|Bien pronto se unio a aquel otro oficial espanol que acudia como en auxilio del primero.|Bien pronto se unio a aquel otro oficial espanol que acudia como en auxilio del primero.|5.9
19demarzo/19demarzo_0015.wav|Contra ambos se dirigio el furor de hombres y mujeres siendo estas las que con mas denuedo les hostilizaban|Contra ambos se dirigio el furor de hombres y mujeres siendo estas las que con mas denuedo les hostilizaban|7.18
19demarzo/19demarzo_0016.wav|pero al poco rato una pequena fuerza francesa puso fin a aquel incidente.|pero al poco rato una pequena fuerza francesa puso fin a aquel incidente.|5.38
19demarzo/19demarzo_0017.wav|Como avanzaba la manana no quise ya perder mas tiempo y trate de seguir mi camino mas no habia pasado aun el arco de la Armeria|Como avanzaba la manana no quise ya perder mas tiempo y trate de seguir mi camino mas no habia pasado aun el arco de la Armeria|8.24
19demarzo/19demarzo_0018.wav|cuando senti un ruido que me parecio curenas en acelerado rodar por calles inmediatas. -¡Que viene la artilleria! -clamaron algunos.|cuando senti un ruido que me parecio curenas en acelerado rodar por calles inmediatas. -¡Que viene la artilleria! -clamaron algunos.|9.17
19demarzo/19demarzo_0019.wav|Pero lejos de determinar la presencia de los artilleros una dispersion general casi toda la multitud corria hacia la calle Nueva.|Pero lejos de determinar la presencia de los artilleros una dispersion general casi toda la multitud corria hacia la calle Nueva.|7.97
19demarzo/19demarzo_0020.wav|La curiosidad pudoen mi mas que el deseo de llegar pronto al fin de mi viaje y corri alla tambien|La curiosidad en mi mas que el deseo de llegar pronto al fin de mi viaje y corri alla tambien|5.87
19demarzo/19demarzo_0021.wav|pero una detonacion espantosa helo la sangre en mis venas y vi caer no lejos de mi algunas personas heridas por la metralla.|pero una detonacion espantosa helo la sangre en mis venas y vi caer no lejos de mi algunas personas heridas por la metralla.|8.19
19demarzo/19demarzo_0022.wav|Aquel fue uno de los cuadros mas terribles que he presenciado en mi vida.|Aquel fue uno de los cuadros mas terribles que he presenciado en mi vida.|4.61
19demarzo/19demarzo_0023.wav|La ira estallo en boca del pueblo de un modo tan formidable que causaba tanto espanto como la artilleria enemiga.|La ira estallo en boca del pueblo de un modo tan formidable que causaba tanto espanto como la artilleria enemiga.|7.24
19demarzo/19demarzo_0024.wav|Ataque tan imprevisto y tan rudo habia aterrado a muchos que huian con pavor|Ataque tan imprevisto y tan rudo habia aterrado a muchos que huian con pavor|4.81
19demarzo/19demarzo_0025.wav|y al mismo tiempo acaloraba la ira de otros que parecian dispuestos a arrojarse sobre los artilleros mas en aquel choque entre los fugitivos y los sorprendidos|y al mismo tiempo acaloraba la ira de otros que parecian dispuestos a arrojarse sobre los artilleros mas en aquel choque entre los fugitivos y los sorprendidos|9.46
19demarzo/19demarzo_0026.wav|entre los que rugian como fieras y los que se lamentaban heridos o moribundos bajo las pisadas de la multitud|entre los que rugian como fieras y los que se lamentaban heridos o moribundos bajo las pisadas de la multitud|6.02
19demarzo/19demarzo_0027.wav|predomino al fin el movimiento de dispersion y corrieron todos hacia la calle Mayor.|predomino al fin el movimiento de dispersion y corrieron todos hacia la calle Mayor.|6.3
19demarzo/19demarzo_0028.wav|No se oian mas voces que «armas armas armas». Los que no vociferaban en las calles vociferaban en los balcones|No se oian mas voces que armas armas armas . Los que no vociferaban en las calles vociferaban en los balcones|8.16
19demarzo/19demarzo_0029.wav|y si un momento antes la mitad de los madrilenos eran simplemente curiosos despues de la aparicion de la artilleria todos fueron actores.|y si un momento antes la mitad de los madrilenos eran simplemente curiosos despues de la aparicion de la artilleria todos fueron actores.|8.02
19demarzo/19demarzo_0030.wav|Cada cual corria a su casa a la ajena o a la mas cercana en busca de un arma y no encontrandola echaba mano de cualquier herramienta.|Cada cual corria a su casa a la ajena o a la mas cercana en busca de un arma y no encontrandola echaba mano de cualquier herramienta.|8.76
19demarzo/19demarzo_0031.wav|Todo servia con tal que sirviera para matar. El resultado era asombroso. Yo no se de donde salia tanta gente armada.|Todo servia con tal que sirviera para matar. El resultado era asombroso. Yo no se de donde salia tanta gente armada.|8.94
19demarzo/19demarzo_0032.wav|Cualquiera habria creido en la existencia de una conjuracion silenciosamentepreparada|Cualquiera habria creido en la existencia de una conjuracion preparada|4.65
19demarzo/19demarzo_0033.wav|pero el arsenal de aquella guerra imprevista y sin plan movida por la inspiracion de cada uno estaba en las cocinas en los bodegones en los almacenes al por menor|pero el arsenal de aquella guerra imprevista y sin plan movida por la inspiracion de cada uno estaba en las cocinas en los bodegones en los almacenes al por menor|9.57
19demarzo/19demarzo_0034.wav|en las salas y tiendas de armas en las posadas y en las herrerias.|en las salas y tiendas de armas en las posadas y en las herrerias.|5.62
19demarzo/19demarzo_0035.wav|La calle Mayor y las contiguas ofrecian el aspecto de un hervidero de rabia imposible de describir por medio del lenguaje.|La calle Mayor y las contiguas ofrecian el aspecto de un hervidero de rabia imposible de describir por medio del lenguaje.|7.4
19demarzo/19demarzo_0036.wav|El que no lo vio renuncie a tener idea de semejante levantamiento.|El que no lo vio renuncie a tener idea de semejante levantamiento.|4.54
19demarzo/19demarzo_0037.wav|Despues me dijeron que entre nueve y once todas las calles de Madrid presentaban el mismo aspecto|Despues me dijeron que entre nueve y once todas las calles de Madrid presentaban el mismo aspecto|6.05
19demarzo/19demarzo_0038.wav|habiase propagado la insurreccion como se propaga la llama en el bosque seco azotado por impetuosos vientos.|habiase propagado la insurreccion como se propaga la llama en el bosque seco azotado por impetuosos vientos.|8.17
19demarzo/19demarzo_0039.wav|En el Pretil de los Consejos por San Justo y por la plazuela de la Villa la irrupcion de gente armada viniendo de los barrios bajos era considerable|En el Pretil de los Consejos por San Justo y por la plazuela de la Villa la irrupcion de gente armada viniendo de los barrios bajos era considerable|8.65
19demarzo/19demarzo_0040.wav|mas por donde vi aparecer despues mayor numero de hombres y mujeres y hasta enjambres de chicos y algunos viejos|mas por donde vi aparecer despues mayor numero de hombres y mujeres y hasta enjambres de chicos y algunos viejos|6.5
19demarzo/19demarzo_0041.wav|fue por la plaza Mayor y los portales llamados de Bringas. Hacia la esquina de la calle de Milaneses frente a la Cava de San Miguel|fue por la plaza Mayor y los portales llamados de Bringas. Hacia la esquina de la calle de Milaneses frente a la Cava de San Miguel|8.91
19demarzo/19demarzo_0042.wav|presencie el primer choque del pueblo con los invasores porque habiendo aparecido como una veintena de franceses que acudian a incorporarse a sus regimientos|presencie el primer choque del pueblo con los invasores porque habiendo aparecido como una veintena de franceses que acudian a incorporarse a sus regimientos|8.17
19demarzo/19demarzo_0043.wav|fueron atacados de improviso por una cuadrilla de mujeres ayudadas por media docena de hombres.|fueron atacados de improviso por una cuadrilla de mujeres ayudadas por media docena de hombres.|6.69
19demarzo/19demarzo_0044.wav|Aquella lucha no se parecia a ninguna peripecia de los combates ordinarios|Aquella lucha no se parecia a ninguna peripecia de los combates ordinarios|4.14
19demarzo/19demarzo_0045.wav|pues consistia en reunirsesubitamente envolviendose y atacandose sin reparar en el numero ni en la fuerza del contrario.|pues consistia en subitamente envolviendose y atacandose sin reparar en el numero ni en la fuerza del contrario.|8.78
19demarzo/19demarzo_0046.wav|Los extranjeros se defendian con su certera punteria y sus buenas armas:|Los extranjeros se defendian con su certera punteria y sus buenas armas:|4.12
19demarzo/19demarzo_0047.wav|pero no contaban con la multitud de brazos que les cenian por detras y por delante como rejos de un inmenso pulpo|pero no contaban con la multitud de brazos que les cenian por detras y por delante como rejos de un inmenso pulpo|6.81
19demarzo/19demarzo_0048.wav|ni con el incansable pinchar de millares de herramientas esgrimidas contra ellos con un desorden y una multiplicidad semejante al de un ametrallamiento a mano|ni con el incansable pinchar de millares de herramientas esgrimidas contra ellos con un orden y una multiplicidad semejante al de un ametrallamiento a mano|8.61
19demarzo/19demarzo_0049.wav|ni con la espantosa centuplicacion de pequenas fuerzas que sin matar imposibilitaban la defensa.|ni con la espantosa centuplicacion de pequenas fuerzas que sin matar imposibilitaban la defensa.|7.81
19demarzo/19demarzo_0050.wav|Algunas veces esta superioridad de los madrilenos era tan grande que no podia menos de ser generosa|Algunas veces esta superioridad de los madrilenos era tan grande que no podia menos de ser generosa|5.94
19demarzo/19demarzo_0051.wav|pues cuando los enemigos aparecian en numero escaso se abria para ellos un portal o tienda donde quedaban a salvo|pues cuando los enemigos aparecian en numero escaso se abria para ellos un portal o tienda donde quedaban a salvo|6.12
19demarzo/19demarzo_0052.wav|y muchos de los que se alojaban en las casas de aquella calle debieron la vida a la tenacidad con que sus patronos les impidieron la salida.|y muchos de los que se alojaban en las casas de aquella calle debieron la vida a la tenacidad con que sus patronos les impidieron la salida.|9.32
19demarzo/19demarzo_0053.wav|No se salvaron tres de a caballo que corrian a todo escape hacia la Puerta del Sol. Se les hicieron varios disparos|No se salvaron tres de a caballo que corrian a todo escape hacia la Puerta del Sol. Se les hicieron varios disparos|6.29
19demarzo/19demarzo_0054.wav|pero irritados ellos cargaron sobre un grupo apostado en la esquina del callejon de la Chamberga y bien pronto vieronse envueltos por el paisanaje.|pero irritados ellos cargaron sobre un grupo apostado en la esquina del callejon de la Chamberga y bien pronto vieronse envueltos por el paisanaje.|8.65
19demarzo/19demarzo_0055.wav|De un fuerte sablazo el mas audaz de los tres abrio la cabeza a una infeliz maja en el instante en que daba a su marido el fusil recien cargado|De un fuerte sablazo el mas audaz de los tres abrio la cabeza a una infeliz maja en el instante en que daba a su marido el fusil recien cargado|8.73
19demarzo/19demarzo_0056.wav|y la imprecacion de la furiosa mujer al caer herida al suelo espoleo el coraje de los hombres.|y la imprecacion de la furiosa mujer al caer herida al suelo espoleo el coraje de los hombres.|6.25
19demarzo/19demarzo_0057.wav|La luchase trabo entonces cuerpo a cuerpo y a arma blanca.|La se trabo entonces cuerpo a cuerpo y a arma blanca.|6.06
19demarzo/19demarzo_0058.wav|Entretanto yo corri hacia la Puerta del Sol buscando lugar mas seguro y en los portales de Pretineros encontre a Chinitas.|Entretanto yo corri hacia la Puerta del Sol buscando lugar mas seguro y en los portales de Pretineros encontre a Chinitas.|8.58
19demarzo/19demarzo_0059.wav|La Primorosa salio del grupo cercano exclamando con frenesi: -¡Han matado a Bastiana! Mas de veinte hombres hay aqui y denguno vale un rial.|La Primorosa salio del grupo cercano exclamando con frenesi: -¡Han matado a Bastiana! Mas de veinte hombres hay aqui y denguno vale un rial.|9.7
19demarzo/19demarzo_0060.wav|Canallas ¿para que os poneis bragas si teneis almas de pitimini? -Mujer -dijo Chinitas cargando su escopeta- quitate de en medio.|Canallas ¿para que os poneis bragas si teneis almas de pitimini? -Mujer -dijo Chinitas cargando su escopeta- quitate de en medio.|9.44
19demarzo/19demarzo_0061.wav|Las mujeres aqui no sirven mas que de estorbo. -Cobardon calzonazos corazon de albondiguilla|Las mujeres aqui no sirven mas que de estorbo. -Cobardon calzonazos corazon de albondiguilla|6.94
19demarzo/19demarzo_0062.wav|-dijo la Primorosa pugnando por arrancar el arma a su marido-. Con el aire que hago moviendome mato yo mas franceses que|-dijo la Primorosa pugnando por arrancar el arma a su marido-. Con el aire que hago moviendome mato yo mas franceses que|9.88
19demarzo/19demarzo_0063.wav|Entonces uno de los de a caballo se lanzo al galope hacia nosotros blandiendo su sable. -¡Menegilda! ¿tienes navaja?|Entonces uno de los de a caballo se lanzo al galope hacia nosotros blandiendo su sable. -¡Menegilda! ¿tienes navaja?|7.37
19demarzo/19demarzo_0064.wav|exclamo la esposa de Chinitas con desesperacion. -Tengo tres la de cortar la de picar y el cuchillo grande.|exclamo la esposa de Chinitas con desesperacion. -Tengo tres la de cortar la de picar y el cuchillo grande.|8.1
19demarzo/19demarzo_0065.wav|¡Aqui estamos espanta-cuervos! -grito la maja tomando de manos de su amiga un cuchillo carnicero cuya sola vista causaba espanto.|¡Aqui estamos espanta-cuervos! -grito la maja tomando de manos de su amiga un cuchillo carnicero cuya sola vista causaba espanto.|9.36
19demarzo/19demarzo_0066.wav|El coracero clavo las espuelas a su corcel y despreciando los tiros se arrojo sobre el grupo.|El coracero clavo las espuelas a su corcel y despreciando los tiros se arrojo sobre el grupo.|6.52
19demarzo/19demarzo_0067.wav|Yo vilas patas del corpulento animal sobre los hombros de la Primorosa|Yo vilas patas del corpulento animal sobre los hombros de la Primorosa|3.74
19demarzo/19demarzo_0068.wav|pero esta agachandose mas ligera que el rayo hundio su cuchillo en el pecho del caballo.|pero esta agachandose mas ligera que el rayo hundio su cuchillo en el pecho del caballo.|7.01
19demarzo/19demarzo_0069.wav|Con la violenta caida el jinete quedo indefenso y mientras la cabalgadura expiraba con horrible pataleo lanzando ardientes resoplidos|Con la violenta caida el jinete quedo indefenso y mientras la cabalgadura expiraba con horrible pataleo lanzando ardientes resoplidos|8.16
19demarzo/19demarzo_0070.wav|el soldado proseguia el combate ayudado por otros cuatro que a la sazon llegaron. Chinitas herido en la frente y con una oreja menos|el soldado proseguia el combate ayudado por otros cuatro que a la sazon llegaron. Chinitas herido en la frente y con una oreja menos|8.55
19demarzo/19demarzo_0071.wav|se habia retirado como a unas diez varas mas alla|se habia retirado como a unas diez varas mas alla|2.79
19demarzo/19demarzo_0072.wav|y cargaba un fusil en el callejon del Triunfo mientras la Primorosa le envolvia un panuelo en la cabeza diciendole: -Si te moveras al fin.|y cargaba un fusil en el callejon del Triunfo mientras la Primorosa le envolvia un panuelo en la cabeza diciendole: -Si te moveras al fin.|8.97
19demarzo/19demarzo_0073.wav|No parece sino que tienes en cada pata las pesas del relo de Buen Suceso. El amolador se volvio hacia mi y me dijo:|No parece sino que tienes en cada pata las pesas del relo de Buen Suceso. El amolador se volvio hacia mi y me dijo:|8.12
19demarzo/19demarzo_0074.wav|-Gabrielillo ¿que haces con ese fusil? ¿Lo tienes en la mano para escarbarte los dientes?|-Gabrielillo ¿que haces con ese fusil? ¿Lo tienes en la mano para escarbarte los dientes?|6.08
19demarzo/19demarzo_0075.wav|En efecto yo tenia en mis manos un fusil sin que hasta aquel instante me hubiese dado cuenta de ello. ¿Me lo habian dado? ¿Lo tome yo?|En efecto yo tenia en mis manos un fusil sin que hasta aquel instante me hubiese dado cuenta de ello. ¿Me lo habian dado? ¿Lo tome yo?|8.37
19demarzo/19demarzo_0076.wav|Lo mas probable es que lo recogi maquinalmente hallandose cercano al lugar de la lucha y cuando caia sin duda de manos de algun combatiente herido|Lo mas probable es que lo recogi maquinalmente hallandose cercano al lugar de la lucha y cuando caia sin duda de manos de algun combatiente herido|8.1
19demarzo/19demarzo_0077.wav|pero mi turbacion y estupor eran tan grandes ante aquella escena que ni aun acertaba a hacerme cargo de lo que tenia entre las manos.|pero mi turbacion y estupor eran tan grandes ante aquella escena que ni aun acertaba a hacerme cargo de lo que tenia entre las manos.|8.82
19demarzo/19demarzo_0078.wav|-¿Pa que esta aqui esa lombriz? -dijo la Primorosaencarandose conmigo y dandome en el hombro una fuerte manotada-.|-¿Pa que esta aqui esa lombriz? -dijo la encarandose conmigo y dandome en el hombro una fuerte manotada-.|6.95
19demarzo/19demarzo_0079.wav|Descosio: coge ese fusil con mas garbo. ¿Tienes en la mano un cirio de procesion?|Descosio: coge ese fusil con mas garbo. ¿Tienes en la mano un cirio de procesion?|6.36
19demarzo/19demarzo_0080.wav|-Vamos: aqui no hay nada que hacer -afirmo Chinitas encaminandose con sus companeros hacia la Puerta del Sol. Echeme el fusil|-Vamos: aqui no hay nada que hacer -afirmo Chinitas encaminandose con sus companeros hacia la Puerta del Sol. Echeme el fusil|9.5
19demarzo/19demarzo_0081.wav|La Primorosa seguia burlandose de mi poca aptitud para el manejo de las armas de fuego. -¿Se acabaron los franceses? -dijo una maja mirando a todos lados-.|La Primorosa seguia burlandose de mi poca aptitud para el manejo de las armas de fuego. -¿Se acabaron los franceses? -dijo una maja mirando a todos lados-.|9.62
19demarzo/19demarzo_0082.wav|¿Se han acabado? -No hemos dejado uno pa simiente de rabanos -contesto la Primorosa-. ¡Viva Espana y el Rey Fernando!|¿Se han acabado? -No hemos dejado uno pa simiente de rabanos -contesto la Primorosa-. ¡Viva Espana y el Rey Fernando!|9.75
19demarzo/19demarzo_0083.wav|En efecto no se veia ningun frances en toda la calle Mayor|En efecto no se veia ningun frances en toda la calle Mayor|3.74
19demarzo/19demarzo_0084.wav|pero no distabamos mucho de las gradas de San Felipe cuando sentimos ruido de tambores despues ruido de cornetas despues pisadas de caballos|pero no distabamos mucho de las gradas de San Felipe cuando sentimos ruido de tambores despues ruido de cornetas despues pisadas de caballos|8.6
19demarzo/19demarzo_0085.wav|despues estruendo de curenas rodando con precipitacion. El drama no habia empezado todavia realmente.|despues estruendo de curenas rodando con precipitacion. El drama no habia empezado todavia realmente.|8.05
19demarzo/19demarzo_0086.wav|Nos detuvimos y adverti que los paisanos se miraban unos a otros consultandose mudamente sobre la importancia de las fuerzas ya cercanas.|Nos detuvimos y adverti que los paisanos se miraban unos a otros consultandose mudamente sobre la importancia de las fuerzas ya cercanas.|9.43
19demarzo/19demarzo_0087.wav|Aquellos infelices madrilenos habian sostenido una lucha terrible con los soldados que encontraron al paso|Aquellos infelices madrilenos habian sostenido una lucha terrible con los soldados que encontraron al paso|5.54
19demarzo/19demarzo_0088.wav|y no contaban con las formidables divisiones y cuerpos de ejercito que se acampaban en las cercanias de Madrid.|y no contaban con las formidables divisiones y cuerpos de ejercito que se acampaban en las cercanias de Madrid.|6.83
19demarzo/19demarzo_0089.wav|No habian medido los alcances y las consecuencias de su calaverada ni aunque los midieran habrian retrocedido en aquel movimiento impremeditado y sublime que les impulso a rechazar fuerzas tan superiores.|No habian medido los alcances y las consecuencias de su calaverada ni aunque los midieran habrian retrocedido en aquel movimiento impremeditado y sublime que les impulso a rechazar fuerzas tan superiores.|12.2
19demarzo/19demarzo_0090.wav|Habia llegado el momento de que los paisanos de la calle Mayor pudieran contar el numero de armas que apuntaban a sus pechos|Habia llegado el momento de que los paisanos de la calle Mayor pudieran contar el numero de armas que apuntaban a sus pechos|6.14
19demarzo/19demarzo_0091.wav|porque por la calle de la Montera aparecio un cuerpo de ejercito por la de Carretas otro|porque por la calle de la Montera aparecio un cuerpo de ejercito por la de Carretas otro|5.79
19demarzo/19demarzo_0092.wav|y por la Carrera de San Jeronimo el tercero que era el mas formidable. -¿Son muchos? -pregunto la Primorosa.|y por la Carrera de San Jeronimo el tercero que era el mas formidable. -¿Son muchos? -pregunto la Primorosa.|7.88
19demarzo/19demarzo_0093.wav|-Muchisimos y tambien vienen por esta calle. Alla por Platerias se siente ruido de tambores.|-Muchisimos y tambien vienen por esta calle. Alla por Platerias se siente ruido de tambores.|6.88
19demarzo/19demarzo_0094.wav|Frente a nosotros y a nuestra espalda teniamos a los infantes a los jinetes y a los artilleros de Austerlitz.|Frente a nosotros y a nuestra espalda teniamos a los infantes a los jinetes y a los artilleros de Austerlitz.|6.7
19demarzo/19demarzo_0095.wav|Viendoles la Primorosa reia pero yo... no puedo menos de confesarlo... yo temblaba.|Viendoles la Primorosa reia pero yo... no puedo menos de confesarlo... yo temblaba.|8.76
19demarzo/19demarzo_0096.wav|Al dia siguiente no halle tampoco quien me llevase a Madrid|Al dia siguiente no halle tampoco quien me llevase a Madrid|8.58
19demarzo/19demarzo_0097.wav|pero deseando vivamente saber de Ines y curioso por oir de sus propios labios si era verdad o mentira la bienaventuranza que le habian ofrecido los Requejos|pero deseando vivamente saber de Ines y curioso por oir de sus propios labios si era verdad o mentira la bienaventuranza que le habian ofrecido los Requejos|8.2
19demarzo/19demarzo_0098.wav|determine marcharme a pie lo cual si no era muy comodo era mas barato:|determine marcharme a pie lo cual si no era muy comodo era mas barato:|5.24
19demarzo/19demarzo_0099.wav|don Celestino y yo hablabamos de esto cuando Lopito entro a buscarme. -Esta noche -me dijo al bajar la escalera- tendremos fiesta.|don Celestino y yo hablabamos de esto cuando Lopito entro a buscarme. -Esta noche -me dijo al bajar la escalera- tendremos fiesta.|9.86
19demarzo/19demarzo_0100.wav|No lo digas ni a tu camisa Gabrielillo. Pues veras... aquel papelote que escribio ayer el Rey es una farsa.|No lo digas ni a tu camisa Gabrielillo. Pues veras... aquel papelote que escribio ayer el Rey es una farsa.|6.63
19demarzo/19demarzo_0101.wav|Bien decia yo que D. Carlitos con su carita de pascua nos esta enganando. -¿De modo que hay viaje? -Tan cierto como ahora es dia.|Bien decia yo que D. Carlitos con su carita de pascua nos esta enganando. -¿De modo que hay viaje? -Tan cierto como ahora es dia.|9.24
19demarzo/19demarzo_0102.wav|Pero como no queremos que se vayan porque esto es enjuague de Napoleon con Godoy para luego repartirse a Espana entre los dos|Pero como no queremos que se vayan porque esto es enjuague de Napoleon con Godoy para luego repartirse a Espana entre los dos|6.96
19demarzo/19demarzo_0103.wav|como no queremos que se vayan el viaje se prepara ocultamente para esta noche. Si fuera verdad que no pensaban salir ¿por que no se ha retirado la tropa?|como no queremos que se vayan el viaje se prepara ocultamente para esta noche. Si fuera verdad que no pensaban salir ¿por que no se ha retirado la tropa?|9.39
19demarzo/19demarzo_0104.wav|¿Por que ha venido mas tropa y mas tropa y mas tropa? ¿Ves? Ahora esta entrando un batallon por la calle de la Reina.|¿Por que ha venido mas tropa y mas tropa y mas tropa? ¿Ves? Ahora esta entrando un batallon por la calle de la Reina.|8.78
19demarzo/19demarzo_0105.wav|Confieso que a mi no me importaba gran cosa que saliese un batallon o entraran ciento|Confieso que a mi no me importaba gran cosa que saliese un batallon o entraran ciento|4.55
19demarzo/19demarzo_0106.wav|ni tampoco me ponia en cuidado el que mi Sr. D. Carlos se marchara a Andalucia o a donde mejor le conviniese. Asi se lo manifeste a mi amigo|ni tampoco me ponia en cuidado el que mi Senor Don Carlos se marchara a Andalucia o a donde mejor le conviniese. Asi se lo manifeste a mi amigo|8.72
19demarzo/19demarzo_0107.wav|pero hallandose el alma de Lopito inundada de generoso entusiasmo por el bien del reino me hizo ver que mi indiferencia era censurable y hasta criminal.|pero hallandose el alma de Lopito inundada de generoso entusiasmo por el bien del reino me hizo ver que mi indiferencia era censurable y hasta criminal.|9.71
19demarzo/19demarzo_0108.wav|Largas horas pasamos discurriendo por el pueblo y matando el tiempo con amenas conversaciones.|Largas horas pasamos discurriendo por el pueblo y matando el tiempo con amenas conversaciones.|7.64
19demarzo/19demarzo_0109.wav|el se empeno en llevarme a la taberna y a la taberna fuimos.|el se empeno en llevarme a la taberna y a la taberna fuimos.|4.12
19demarzo/19demarzo_0110.wav|La concurrencia era la misma aunque el panorama de caras habia variado viendose entre ellas la de Santurrias que noera la menos animada.|La concurrencia era la misma aunque el panorama de caras habia variado viendose entre ellas la de Santurrias que noera la menos animada.|9.02
19demarzo/19demarzo_0111.wav|Tambien estaba alli muy macilento y meditabundo con los agujereados codos sobre la mesa|Tambien estaba alli muy macilento y meditabundo con los agujereados codos sobre la mesa|5.07
19demarzo/19demarzo_0112.wav|el poeta calagurritano que tres anos antes capitaneaba la turba de silbantes en el estreno de El si de las ninas|el poeta calagurritano que tres anos antes capitaneaba la turba de silbantes en el estreno de El si de las ninas|6.68
19demarzo/19demarzo_0113.wav|y con el libaba el nectar de Esquivias en el mismo vaso otro de los dioses menores del Olimpo Comellesco|y con el libaba el nectar de Esquivias en el mismo vaso otro de los dioses menores del Olimpo Comellesco|7.15
19demarzo/19demarzo_0114.wav|el famoso Cuarta y Media calderero y poeta. ¡Pobres hijos de Apolo!|el famoso Cuarta y Media calderero y poeta. ¡Pobres hijos de Apolo!|6.89
19demarzo/19demarzo_0115.wav|El pinche me dijo que todos aquellos personajes habian venido de Madrid traidos por los confeccionadores de la conjuracion y anadio:|El pinche me dijo que todos aquellos personajes habian venido de Madrid traidos por los confeccionadores de la conjuracion y anadio:|8.4
19demarzo/19demarzo_0116.wav|-Esto para que se vea que tambien toman parte los hombres que se llaman cientificos. No puedo menos de decir que toda|-Esto para que se vea que tambien toman parte los hombres que se llaman cientificos. No puedo menos de decir que toda|9.08
19demarzo/19demarzo_0117.wav|y en cuanto a sus intenciones y propositos todo me parecia absurdo sin explicarme por que. -Estupidos -decia para mi-|y en cuanto a sus intenciones y propositos todo me parecia absurdo sin explicarme por que. -Estupidos -decia para mi-|8.41
19demarzo/19demarzo_0118.wav|¿pensais que semejante gateria es capaz de quitar y poner reyes a su antojo?|¿pensais que semejante gateria es capaz de quitar y poner reyes a su antojo?|5.63
